month, mslp, vas, Z_p500, RH_p500, RH_p700, Q_p850, month, constant, timecopy, preds
1, 1.1575888395309448, 0.6435456871986389, 0.42523694038391113, 1.0594347715377808, 1.165436029434204, 0.05762089788913727, 0.0, 0.0, 164.16141467953346, 
2, 1.2404704093933105, 0.7735633850097656, 0.40085262060165405, 1.1024770736694336, 1.1471983194351196, 0.09674425423145294, 0.0, 0.0, 189.00287120841114, 
3, 1.3023093938827515, 1.0735454559326172, 0.3986406624317169, 1.0916430950164795, 1.0365691184997559, 0.12365904450416565, 0.0, 0.0, 173.10013489288104, 
4, 1.0288621187210083, 1.2191994190216064, 0.36341890692710876, 0.975615918636322, 0.9461537599563599, 0.18979167938232422, 0.0, 0.0, 181.36478868950866, 
5, 0.6702592968940735, 1.1458213329315186, 0.2543751895427704, 0.7689315676689148, 0.9234921932220459, 0.35224828124046326, 0.0, 0.0, 166.62332566931806, 
6, 0.45387956500053406, 0.8548442125320435, 0.16417433321475983, 0.7516868114471436, 0.8084176778793335, 0.4025856852531433, 0.0, 0.0, 161.7011215473637, 
7, 0.29290080070495605, 0.6362683176994324, 0.06599768251180649, 0.940375030040741, 0.719356119632721, 0.2925388216972351, 0.0, 0.0, 146.39780112865748, 
8, 0.2852248251438141, 0.5822644233703613, 0.05537055432796478, 0.9663861393928528, 0.6363142132759094, 0.2837337851524353, 0.0, 0.0, 159.72721053167018, 
9, 0.5511603951454163, 0.9233441352844238, 0.15811800956726074, 0.9352349638938904, 0.850933313369751, 0.4840307831764221, 0.0, 0.0, 171.8215832209541, 
10, 0.8333866000175476, 0.9024056792259216, 0.2912527322769165, 0.8880875706672668, 0.9595023393630981, 0.34032583236694336, 0.0, 0.0, 160.49050827348472, 
11, 1.196382999420166, 0.9609184265136719, 0.5116022229194641, 1.0326707363128662, 1.1545374393463135, 0.16270923614501953, 0.0, 0.0, 178.89570529654213, 
12, 1.1850743293762207, 0.738178014755249, 0.4643072783946991, 1.0809426307678223, 1.1384174823760986, 0.07023021578788757, 0.0, 0.0, 178.31139055144018, 
Annual, 1.0000001192092896, 1.0, 0.9999998807907104, 1.0, 1.0, 1.0000001192092896, 11.894004423336181, 0.0, 254.85052759129886, 
