month, mean, var
1, 10.915608406066895, 54.197086334228516
2, 13.057578086853027, 64.2398452758789
3, 18.222776412963867, 49.5787239074707
4, 23.25584602355957, 37.308006286621094
5, 27.404821395874023, 25.807903289794922
6, 31.898529052734375, 16.27709197998047
7, 34.316776275634766, 12.619791030883789
8, 34.06660079956055, 14.466300964355469
9, 29.778532028198242, 24.948772430419922
10, 23.68297004699707, 32.99211883544922
11, 16.86058807373047, 45.64992904663086
12, 11.248990058898926, 54.929813385009766
